,Title,Rating,Release Date,Runtime,Genres
77,Action Point,5.4,6/1/2018,85,Comedy
78,Listen to Your Heart,7.2,8/14/2010,102,"Drama, Music, Romance"
79,Look Who's Talking Now!,5.4,11/5/1993,96,"Romance, Comedy, Family"
80,Moonshot,6.8,5/5/2022,104,"Comedy, Romance, Science Fiction"
81,Titicut Follies,7.1,10/3/1967,84,Documentary
82,Amber Alert,5.1,11/2/2012,81,"Horror, Mystery, Thriller"
83,Ernest Goes to Jail,4.9,4/6/1990,81,"Comedy, Family"
84,Kill Switch,4.7,10/6/2008,96,"Action, Thriller"
85,Return to Never Land,6.5,2/14/2002,72,"Adventure, Fantasy, Animation, Family"
86,Private Desert,6.9,11/25/2021,121,Drama
87,"Silent Night, Bloody Night",5.1,11/1/1972,85,"Thriller, Horror, Mystery"
88,Little Joe,5.8,11/1/2019,106,"Drama, Science Fiction"
89,The Garden of Sinners: Overlooking View,6.6,12/1/2007,50,"Animation, Crime, Action, Fantasy"
90,Petite Maman,7.2,6/2/2021,72,"Drama, Fantasy, Family"
91,Song for Marion,6.9,9/15/2012,93,"Music, Comedy, Romance, Drama"
92,One from the Heart,5.7,2/11/1982,107,"Drama, Romance"
93,Brazil,7.7,2/20/1985,143,"Comedy, Science Fiction"
94,Schramm,5.9,1/1/1993,65,Horror
95,The Dreamers,7.2,9/1/2003,115,"Drama, Romance"
96,Get Rich or Die Tryin',6.7,11/9/2005,117,"Drama, Crime, Music"
97,Captain Conan,6.6,10/16/1996,129,"Drama, War"
98,Haunted Hospital: Heilstatten,5.4,2/22/2018,89,Horror
99,Grease Live,7.0,1/31/2016,130,"TV Movie, Music"
100,Hostile,5.8,3/8/2018,82,"Drama, Horror, Romance, Science Fiction"
101,Looking for Richard,6.7,10/11/1996,112,Documentary
102,Yellow Sky,6.9,12/24/1948,98,"Crime, Western"
103,PTU,6.9,4/17/2003,88,"Crime, Thriller"
104,Klimt,5.0,3/3/2006,131,"Drama, Romance"
105,Eye of the Needle,6.6,7/24/1981,108,"Drama, Thriller"
106,The Ballad of Narayama,7.5,6/1/1958,98,Drama
107,Morbius,6.1,3/30/2022,105,"Action, Science Fiction, Fantasy"
108,Pokémon the Movie: The Power of Us,7.1,7/13/2018,98,"Animation, Family, Adventure, Fantasy"
109,The Painting,7.2,10/12/2011,76,"Fantasy, Animation"
110,Maverick,6.9,5/20/1994,127,"Action, Adventure, Comedy, Drama, Western"
111,Crawlspace,4.8,5/1/2012,89,"Horror, Science Fiction, Mystery, Thriller"
112,Arabesque,6.2,5/4/1966,105,"Adventure, Comedy, Romance, Thriller, Action, Crime"
113,Rescued by Ruby,7.5,3/17/2022,93,"Family, Drama"
114,She-Devil,5.8,12/8/1989,99,Comedy
115,The Uninvited Guest,6.4,10/21/2004,110,"Drama, Mystery, Thriller, Horror"
116,Ichi the Killer,7.0,12/22/2001,129,"Action, Crime, Horror"
117,The Garden of Sinners: Oblivion Recording,6.7,12/20/2008,59,"Animation, Fantasy"
118,Extortion,6.2,1/2/2017,108,"Action, Adventure, Crime, Drama, Thriller"
119,The Adventures of Pinocchio,5.3,7/26/1996,90,"Family, Fantasy, Adventure, Drama"
120,Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.2,7/21/2005,105,"Action, Adventure, Animation, Drama"
121,Police Story,7.5,12/14/1985,100,"Action, Crime, Thriller"
122,20 Feet from Stardom,7.2,6/14/2013,89,"Documentary, Music"
123,Fugitive at 17,6.5,6/30/2012,84,"TV Movie, Crime, Mystery, Thriller"
124,Inside Man,7.4,3/17/2006,129,"Crime, Drama, Thriller"
125,Jack Frusciante è uscito dal gruppo,5.8,4/2/1996,100,"Drama, Comedy, Romance"
126,The Lost Future,4.9,11/13/2010,90,"Adventure, Science Fiction"
127,Taking Care of Business,6.2,8/16/1990,108,Comedy
128,Dig Two Graves,5.6,10/17/2014,85,"Mystery, Thriller, Fantasy, Horror"
129,The Prince of Tides,6.6,12/25/1991,132,"Drama, Romance"
130,Mean Girls 2,5.2,1/23/2011,96,Comedy
131,The Infernal Machine,6.4,9/23/2022,107,"Thriller, Mystery"
132,The Cabbage Soup,6.4,12/2/1981,98,"Comedy, Science Fiction"
133,Sharknado 3: Oh Hell No!,4.6,7/22/2015,88,"Action, TV Movie, Science Fiction, Comedy, Adventure"
134,A Dog Named Palma,8.3,3/18/2021,110,"Family, Romance"
135,Air Bridge,6.3,3/26/2015,100,"Drama, Romance"
136,The United States of Leland,6.5,1/18/2003,108,"Crime, Drama"
137,Stand by Me Doraemon,7.3,8/8/2014,90,"Animation, Family, Science Fiction, Fantasy"
138,Fear Clinic,4.2,10/31/2014,95,Horror
139,Top Gun,7.0,5/16/1986,110,"Romance, Drama, Action"
140,Break Point,5.7,3/8/2014,90,Comedy
141,Two-Minute Warning,6.2,11/12/1976,115,"Action, Thriller"
142,Fever Dream,5.8,10/6/2021,93,"Thriller, Drama, Mystery"
143,Resident Evil: The Final Chapter,6.1,12/23/2016,107,"Action, Horror, Science Fiction"
144,The Outsider,4.5,3/11/2014,94,"Action, Crime, Drama, Mystery, Thriller"
145,The Bounty Hunter,5.8,3/16/2010,110,"Comedy, Action, Romance"
146,Already Tomorrow in Hong Kong,5.9,2/12/2016,79,Romance
147,Turkish for Beginners,6.2,3/14/2012,105,Comedy
148,New World,7.4,2/21/2013,134,"Thriller, Crime, Drama"
149,The Invisibles,7.0,1/9/2019,102,"Comedy, Drama"
150,Pride and Prejudice and Zombies,6.1,2/4/2016,108,"Romance, Horror, Comedy, Thriller"
151,Lemon Tree,6.9,2/8/2008,106,Drama
152,Treasure Island,6.5,7/19/1950,96,"Adventure, Family"
153,Slackers,5.1,2/1/2002,86,"Comedy, Romance"
154,Brother 2,7.3,5/11/2000,122,"Action, Crime, Drama"
155,Miss Peregrine's Home for Peculiar Children,6.8,9/27/2016,127,"Fantasy, Adventure"
156,The Devil's Violinist,6.7,1/30/2013,122,Drama
157,Closed Circuit,5.9,8/28/2013,96,"Mystery, Drama, Crime, Thriller"
158,Music and Lyrics,6.4,2/9/2007,105,"Comedy, Music, Romance"
159,Carmen & Lola,7.0,9/7/2018,103,"Romance, Drama"
160,Speak,6.9,1/20/2004,89,Drama
161,Big Momma's House 2,5.7,1/26/2006,99,"Comedy, Crime"
162,The Monkey's Paw,4.6,10/8/2013,88,"Horror, Thriller"
163,New Order,6.5,10/22/2020,88,"Drama, Thriller"
164,A Star Is Born,7.1,4/27/1937,111,"Drama, Romance"
165,Down,6.8,2/1/2019,82,"Horror, Drama, Thriller"
166,Ghost in the Shell: Stand Alone Complex – Solid State Society,7.4,9/1/2006,105,"Animation, Action, Thriller, Crime, Science Fiction"
167,Santa Claus Is Comin' to Town,7.1,12/14/1970,51,"Animation, Family, Fantasy, TV Movie"
168,Change of Plans,5.4,2/18/2009,100,"Comedy, Romance"
169,The Lion King 1½,6.6,2/6/2004,77,"Family, Animation, Comedy, Action"
170,Dennis the Menace Strikes Again!,5.4,7/14/1998,71,"Family, Comedy"
171,Life Is a Long Quiet River,6.7,2/3/1988,90,Comedy
172,Brice 3,4.2,10/19/2016,95,Comedy
173,Code 8,6.2,12/6/2019,99,"Science Fiction, Action, Crime"
174,Gods and Generals,6.2,2/21/2003,219,"Drama, History, War"
175,The Medallion,5.6,8/15/2003,88,"Thriller, Fantasy, Action, Comedy"
176,Forgotten,8.0,11/29/2017,108,"Thriller, Mystery, Drama"
177,Casablanca,8.2,1/15/1943,102,"Drama, Romance"
178,BloodRayne: The Third Reich,3.9,11/5/2010,79,"Action, Adventure, Fantasy, Horror"
179,"Paul, Apostle of Christ",7.5,3/23/2018,108,"Drama, History"
180,Modigliani,7.0,5/18/2004,128,Drama
181,Kingsman: The Secret Service,7.6,12/13/2014,129,"Crime, Comedy, Action, Adventure"
182,The Thin Man Goes Home,7.1,12/24/1944,101,"Comedy, Mystery"
183,Unconditional,6.6,9/21/2012,92,Drama
184,Ju-on: The Curse,6.8,2/11/2000,70,"Horror, Mystery"
185,My Big Night,5.3,10/23/2015,98,"Comedy, Music, Drama"
186,Father’s Chair,7.0,1/20/2012,93,Drama
187,Escape the Field,5.0,5/6/2022,89,"Thriller, Horror"
188,The Last King,5.7,2/12/2016,100,"Action, Adventure, Drama, History"
189,The Wolf and the Lion,7.5,10/13/2021,99,"Family, Adventure"
190,Absence of Malice,6.6,11/19/1981,116,"Crime, Drama, Romance"
191,D.E.B.S.,6.4,1/21/2004,91,"Action, Comedy, Romance"
192,Hot Rod,6.4,8/3/2007,88,"Comedy, Action, Drama"
193,The Willoughbys,7.1,4/22/2020,92,"Animation, Comedy, Family"
194,Donkey Punch,4.7,7/18/2008,99,"Horror, Drama, Thriller, Crime"
195,Dinocroc vs. Supergator,4.8,6/26/2010,80,"Horror, Science Fiction"
196,Rabbits,6.8,6/9/2002,50,"Horror, Mystery, Comedy"
197,Wandering Stars,7.5,6/6/2019,86,"Documentary, Music"
198,Maheshinte Prathikaaram,7.8,2/5/2016,121,"Comedy, Drama"
199,Jason Goes to Hell: The Final Friday,4.5,8/13/1993,88,Horror
200,The Concert,7.2,11/4/2009,119,"Drama, Comedy"
201,There's Something Wrong with the Children,5.8,1/17/2023,92,"Horror, Mystery, Thriller"
202,Your Sister's Sister,6.5,9/11/2011,90,Comedy
203,Les souvenirs,6.3,8/23/2014,96,"Comedy, Drama"
204,Star 80,6.5,11/10/1983,103,Drama
205,2061 - Un anno eccezionale,4.1,10/26/2007,100,"Comedy, Science Fiction"
206,Doraemon: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users,7.0,3/10/2007,112,"Family, Adventure, Animation, Science Fiction, Fantasy"
207,Cool Kids Don't Cry,8.0,2/15/2012,105,"Family, Romance, Drama"
208,Losin' It,5.0,8/20/1982,100,Comedy
209,The Emperor's New Groove,7.6,12/15/2000,78,"Adventure, Animation, Comedy, Family, Fantasy"
210,The Hand,7.4,10/26/1965,18,"Animation, Horror"
211,Awakening the Zodiac,5.2,6/9/2017,100,"Crime, Drama, Mystery, Thriller"
212,Antonio das Mortes,6.7,6/14/1969,100,"Action, Crime, Drama, Western, History"
213,Boiling Point,6.9,9/15/1990,96,"Crime, Comedy, Drama"
214,End of the World,4.5,2/22/2013,85,"Science Fiction, Action, Comedy, Adventure"
215,Un Natale al Sud,4.7,12/1/2016,90,Comedy
216,Dragon Ball Z: Dead Zone,6.7,7/15/1989,41,"Animation, Action, Fantasy"
217,X,6.8,3/17/2022,106,Horror
218,Death Smiles on a Murderer,5.8,7/11/1973,88,Horror
219,Riki-Oh: The Story of Ricky,6.7,10/5/1991,92,"Action, Thriller"
220,A Taxi Driver,8.1,8/2/2017,138,"Action, Drama, History"
221,Peaceful Warrior,7.4,3/30/2006,120,Drama
222,Mary Poppins Returns,6.5,12/13/2018,131,"Fantasy, Family, Comedy"
223,Dark Encounter,5.4,8/23/2019,97,"Science Fiction, Thriller, Horror"
224,Flight 7500,4.8,5/16/2014,79,"Thriller, Horror, Mystery"
225,Dark Angel,6.0,1/26/1990,91,"Action, Thriller, Science Fiction, Crime, Horror"
226,Chef's Special,5.8,4/11/2008,111,Comedy
227,The Life and Death of a Porno Gang,6.3,9/16/2009,100,"Adventure, Drama, Thriller, Comedy, Romance"
228,Percy Jackson: Sea of Monsters,6.0,8/7/2013,106,"Adventure, Family, Fantasy"
229,The Lodge,6.1,1/16/2020,108,"Drama, Horror, Thriller"
230,Clifford the Big Red Dog,7.2,11/10/2021,97,"Family, Adventure, Comedy, Fantasy"
231,The Widow,5.9,10/29/2020,80,"Horror, Thriller"
232,Two Men in Manhattan,6.4,10/16/1959,84,"Crime, Drama, Thriller"
233,Miranda,5.2,10/15/1985,93,"Comedy, Romance"
234,Certified Copy,7.0,5/18/2010,106,"Drama, Romance"
235,Kizumonogatari Part 2: Nekketsu,8.0,8/19/2016,64,"Animation, Fantasy, Mystery"
236,Call Me Claus,5.7,12/3/2001,90,"TV Movie, Family"
237,Jefe,5.5,5/4/2018,89,Comedy
238,L'immensità,6.5,9/15/2022,97,Drama
239,Come un delfino,6.3,3/1/2011,248,Drama
240,All Against All,5.9,2/28/2013,0,Comedy
241,Remo Williams: The Adventure Begins,6.2,10/11/1985,121,"Comedy, Action, Adventure"
242,The Triplets of Belleville,7.4,6/11/2003,80,"Animation, Comedy, Drama"
243,Lockout,5.9,4/12/2012,95,"Action, Thriller, Science Fiction"
244,As Cool as I Am,5.9,6/21/2013,92,"Comedy, Drama"
245,The Beast,6.2,11/27/2020,90,"Crime, Drama"
246,Roman Polanski: Wanted and Desired,6.4,1/18/2008,99,Documentary
247,Christmas Incorporated,6.4,11/15/2015,84,"TV Movie, Drama"
248,Homefront,7.0,11/12/2013,100,"Action, Thriller"
249,Mr. Robinson,6.2,12/23/1976,107,"Adventure, Comedy"
250,Bobby Fischer Against the World,6.9,6/6/2011,93,"Documentary, Drama"
251,Forbidden City Cop,6.9,2/16/1996,89,"Action, Adventure, Comedy"
252,San Andreas,6.2,5/27/2015,114,"Action, Drama, Thriller"
253,On My Way,6.4,5/16/2013,100,"Drama, Comedy"
254,After Porn Ends,5.7,5/21/2012,90,Documentary
255,Catch a Fire,6.3,10/27/2006,101,"Action, Drama, Thriller"
256,Love Steaks,5.3,3/27/2014,89,"Comedy, Drama, Romance"
257,Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge,8.1,9/30/2011,132,"Action, Drama, History"
258,Night of the Lepus,4.4,10/4/1972,88,"Horror, Science Fiction"
259,Nappily Ever After,7.2,9/21/2018,100,"Comedy, Romance"
260,The Land Before Time II: The Great Valley Adventure,6.3,12/12/1994,73,"Animation, Adventure, Family"
261,Cheeky,5.5,1/28/2000,91,"Comedy, Drama, Romance"
262,Vacanze di Natale 2000,5.3,12/17/1999,110,Comedy
263,Above the Shadows,6.8,5/31/2019,111,"Fantasy, Romance"
264,A Family Thing,6.3,3/29/1996,109,"Comedy, Drama"
265,Island of Lost Souls,6.9,12/24/1932,70,"Adventure, Horror, Science Fiction"
266,Latter Days,6.8,1/30/2004,108,"Drama, Comedy, Romance"
267,The Peanuts Movie,6.9,11/5/2015,88,"Comedy, Animation, Family"
268,General Della Rovere,7.5,10/7/1959,132,"War, Drama"
269,Raja Hindustani,6.4,11/15/1996,177,"Drama, Romance"
270,Pleasantville,7.2,9/17/1998,124,"Fantasy, Comedy, Drama"
271,The Garden of Sinners: Future Gospel,7.4,9/16/2013,89,"Animation, Science Fiction"
272,The Last Match,7.2,5/4/2013,94,"Drama, Romance"
273,Scooby-Doo! & Batman: The Brave and the Bold,7.3,1/31/2018,75,"Animation, Comedy, Action, Family"
274,Marooned,5.9,12/11/1969,134,"Adventure, Drama, Science Fiction"
275,Love Story,6.8,12/16/1970,99,"Romance, Drama"
276,The Secret of the Third Planet,7.3,7/31/1981,50,"Animation, Science Fiction, Fantasy, Adventure, Family"
277,Restrepo,7.3,6/25/2010,93,"War, Documentary"
278,The Wolf House,7.6,9/26/2018,75,"Animation, Horror, Fantasy, Drama"
279,Red Riding Hood,6.0,3/10/2011,100,"Action, Adventure, Horror, Fantasy, Thriller"
280,Difret,6.2,8/10/2014,96,Drama
281,The Hollars,6.3,8/25/2016,88,"Comedy, Drama, Romance"
282,The Devil's Double,6.7,2/11/2011,109,"Drama, Action, Thriller, Crime, War"
283,Sad Movie,6.6,10/20/2005,108,"Comedy, Drama, Romance"
284,Mike's New Car,6.9,5/24/2002,3,"Animation, Comedy, Family, Fantasy"
285,Dear Diary,7.4,10/12/1993,101,"Comedy, Drama"
286,Oedipus Rex,6.8,9/7/1967,104,Drama
287,Bleeding Heart,5.0,4/16/2015,80,"Thriller, Drama"
288,Earth,7.6,10/10/2007,90,Documentary
289,Salt of the Earth,7.0,3/14/1954,94,"Drama, History"
290,Matador,6.7,3/7/1986,105,"Drama, Thriller"
291,A Rough Draft,5.4,5/25/2018,116,"Fantasy, Science Fiction, Action"
292,"Cairo 6,7,8",7.3,12/22/2010,100,Drama
293,Love at First Hiccup,5.3,2/2/2009,85,"Comedy, Romance"
294,Rogue River,5.0,1/16/2012,81,"Horror, Thriller"
295,28 Weeks Later,6.6,4/26/2007,100,"Horror, Thriller, Science Fiction"
296,Sword of Trust,5.9,7/12/2019,88,Comedy
297,Flashbacks of a Fool,6.2,6/5/2008,110,Drama
298,Night of the Demons,6.2,10/14/1988,90,"Horror, Comedy"
299,The Guest,6.7,7/10/2019,94,"Comedy, Drama"
300,Tom and Jerry: The Fast and the Furry,6.9,10/11/2005,75,"Family, Animation, Comedy, Action, Adventure"
301,Lemonade Joe,7.3,10/16/1964,99,"Comedy, Western, Music"
302,Crush in Jaipur,6.4,10/19/2016,92,"Romance, Comedy, TV Movie"
303,For the Bible Tells Me So,7.0,10/5/2007,98,Documentary
304,Tommy,6.4,3/19/1975,111,Music
305,Memory: The Origins of Alien,6.1,1/24/2019,95,Documentary
306,Postal,4.6,10/18/2007,102,"Action, Comedy"
307,The Many Saints of Newark,6.4,9/22/2021,120,Crime
308,Jurassic City,4.6,1/9/2015,88,"Action, Science Fiction, Horror"
309,Into the Sun,4.4,11/26/2005,97,"Action, Thriller"
310,Stretch,6.2,10/14/2014,94,"Action, Comedy, Thriller"
311,Poor But Beautiful,6.9,1/23/1957,97,"Romance, Comedy"
312,Gran Turismo,8.1,8/9/2023,135,"Action, Drama, Adventure"
313,Demetri Martin: Live (At The Time),6.9,3/10/2015,61,Comedy
314,Separate Tables,6.8,12/18/1958,98,"Drama, Romance"
315,Fanny's Journey,7.2,5/18/2016,94,"Drama, History"
316,Sotto una buona stella,5.8,2/13/2014,109,Comedy
317,The Fugitives,6.7,12/17/1986,85,"Comedy, Crime"
318,Nostalgic Christmas,7.0,10/31/2019,90,"Romance, TV Movie"
319,Black Dawn,4.1,12/27/2005,96,Action
320,Terms of Endearment,7.1,11/20/1983,132,"Drama, Comedy"
321,Beyond the Boundary: I'll Be Here – Future,7.6,4/25/2015,90,"Animation, Action, Fantasy, Drama, Comedy"
322,Let Me In,6.8,10/1/2010,116,"Drama, Horror, Mystery"
323,The Little Matchgirl,7.5,9/7/2006,7,"Animation, Drama, Family, Fantasy"
324,Dragonfly,6.5,2/22/2002,104,"Thriller, Fantasy"
325,Ro.Go.Pa.G.,7.2,2/19/1963,117,"Comedy, Drama"
326,Lucy in the Sky,5.0,9/20/2019,125,"Drama, Science Fiction, Thriller"
327,Christmas in Miami,5.1,12/16/2005,95,Comedy
328,From Beijing with Love,6.9,10/13/1994,84,"Action, Comedy"
329,Dr Jekyll & Sister Hyde,6.1,10/17/1971,97,Horror
330,Vicini di casa,5.5,12/1/2022,83,Comedy
331,Twisted,5.5,2/27/2004,97,"Action, Adventure, Crime, Drama, Thriller"
332,Hercules,7.5,6/20/1997,93,"Animation, Family, Fantasy, Adventure, Comedy, Romance"
333,Isolation,5.4,9/10/2005,95,"Horror, Science Fiction"
334,The Dunwich Horror,5.4,1/14/1970,88,Horror
335,At the End of the Tunnel,7.1,4/21/2016,120,"Crime, Thriller"
336,A Chorus Line,6.2,12/10/1985,117,"Drama, Music"
337,Blame,6.7,1/5/2018,100,Drama
338,Avengers: Infinity War,8.3,4/25/2018,149,"Adventure, Action, Science Fiction"
339,Black Site,6.4,5/5/2022,99,"Action, Thriller"
340,Crossword Mysteries: A Puzzle to Die For,7.1,3/10/2019,84,"TV Movie, Mystery, Thriller"
341,Curse of the Golden Flower,6.8,12/14/2006,114,"Action, Drama, Fantasy"
342,To Die For,6.6,9/22/1995,106,"Drama, Comedy, Crime"
343,Roald Dahl's Matilda the Musical,6.8,11/25/2022,117,"Family, Comedy, Fantasy"
344,Orchestra Rehearsal,6.6,10/1/1978,70,"Drama, Comedy, Music"
345,Asylum,4.0,3/20/2008,93,"Horror, Science Fiction"
346,Farewell,6.5,9/23/2009,113,"Thriller, Drama"
347,Maximum Conviction,5.0,10/25/2012,97,"Action, Adventure, Thriller"
348,Raajneeti,6.2,6/4/2010,167,"Drama, Thriller"
349,Dead Silence,6.4,3/16/2007,89,Horror
350,Kizumonogatari Part 3: Reiketsu,8.0,1/6/2017,83,"Animation, Fantasy, Mystery"
351,Malignant,6.8,9/1/2021,111,"Horror, Mystery, Thriller"
352,Lucky Luke,5.4,7/4/1991,92,"Comedy, Western"
353,Triggered,5.5,8/28/2020,90,"Horror, Action"
354,The Russians Are Coming! The Russians Are Coming!,6.3,5/25/1966,126,"Comedy, War"
355,Lucky Trouble,6.0,1/12/2011,90,"Romance, Comedy"
356,Jim Gaffigan: Obsessed,7.0,4/27/2014,70,Comedy
357,Life in a Metro,6.2,5/11/2007,124,Drama
358,Yellow Submarine,7.1,7/17/1968,89,"Music, Animation, Adventure, Comedy, Fantasy"
359,How to Train Your Dragon: Homecoming,8.1,10/25/2019,22,"Animation, Fantasy, Adventure, Action, Family"
360,"ariana grande: excuse me, i love you",8.1,12/21/2020,97,"Music, Documentary"
361,Ava's Possessions,5.9,3/16/2015,89,"Comedy, Horror, Mystery, Thriller"
362,Troppo forte,6.5,1/30/1986,110,Comedy
363,Cosmic Scrat-tastrophe,6.5,11/6/2015,5,"Science Fiction, Comedy, Animation, Family, Adventure"
364,Shaolin Soccer,7.1,7/5/2001,113,"Action, Comedy"
365,Revenge of the Nerds,6.5,7/20/1984,90,Comedy
366,The Shadow Effect,5.0,5/2/2017,93,"Science Fiction, Action, Thriller"
367,Little Women,7.4,3/10/1949,121,"Romance, Drama, Family"
368,Powder Keg,7.0,6/1/2001,14,"Action, War"
369,Abbott and Costello Meet the Mummy,6.1,6/23/1955,79,"Comedy, Horror, Fantasy, Adventure"
370,Windstorm 4,6.8,2/28/2019,102,"Family, Adventure, Drama"
371,The Last Dragon,6.4,3/22/1985,108,"Action, Adventure, Music"
372,They Live,7.3,11/23/1988,94,"Science Fiction, Action"
373,Citizen X,7.2,2/25/1995,105,"Crime, Drama"
374,The Package,6.1,1/25/1989,108,"Crime, Thriller, Action"
375,The Paramedic,6.1,9/16/2020,94,Thriller
376,Like a Boss,6.3,1/9/2020,83,Comedy
377,Nadine,5.4,8/7/1987,83,"Action, Comedy, Romance"
378,My King,7.2,5/16/2015,130,"Drama, Romance"
379,Heavenquest: A Pilgrim's Progress,5.1,1/28/2020,92,"Adventure, Fantasy, Action"
380,Les Tuche 3,5.3,1/31/2018,92,Comedy
